,gid,배수_score,경사도_score
212,라사1668,1.47,4.88
213,라사0580,1.68,4.09
214,라사0883,1.91,4.68
215,라사1065,1.59,4.14
216,라사1681,1.42,4.8
217,라사3989,1.09,5.52
218,라사1177,1.38,4.61
219,라사0269,1.18,3.63
220,라사2294,1.93,1.42
221,라사1592,1.49,4.65
222,라사3287,1.02,5.14
223,라사3184,1.45,4.61
224,라사1791,1.43,3.3
225,라사1773,1.49,5.34
226,라사2894,0.73,4.7
227,라사1197,2.06,4.3
228,라사2093,2.27,2.9
229,라사3498,1.14,4.76
230,라사2173,1.72,4.98
231,라사0979,1.08,5.54
232,라사2494,2.18,3.54
233,라사1292,2.13,5.1
234,라사0881,1.14,3.68
235,라아0902,1.84,5.74
236,라사1892,1.71,0.53
237,라사1982,1.88,3.79
238,라아0706,1.9,5.63
239,라사2383,2.41,2.52
240,라사1495,1.87,4.68
241,라사3586,1.08,5.25
242,라사2384,1.81,3.62
243,라아3401,0.81,2.51
244,라사2274,1.22,4.84
245,라사1884,2.0,3.95
246,라사0281,1.34,2.43
247,라아1204,2.01,4.03
248,라사2674,1.67,4.61
249,라아2000,1.16,5.01
250,라아3502,1.01,5.85
251,라아3300,1.22,4.43
252,라사2489,1.44,3.24
253,라사1580,1.59,2.61
254,라사0370,1.91,4.99
255,라사2279,1.17,4.6
256,라사1487,1.37,4.49
257,라사1693,1.79,5.59
258,라사1579,1.63,5.15
259,라사1792,3.3,1.45
260,라사2477,1.62,3.59
261,라사1694,2.05,3.26
262,라사3084,1.38,3.77
263,라사2092,2.36,3.41
264,라사1679,1.85,4.02
265,라사1689,2.2,3.89
266,라사1276,1.97,2.05
267,라사1784,1.33,4.37
268,라사1778,1.13,4.07
269,라사1996,1.83,4.93
270,라사1992,1.93,1.0
271,라사0573,1.72,5.04
272,라사2583,1.39,4.25
273,라사1078,1.8,4.98
274,라사2285,1.71,4.29
275,라사1770,1.94,4.25
276,라사1084,1.93,4.43
277,라사0882,1.55,5.47
278,라아1104,1.99,3.78
279,라사1790,1.84,3.58
280,라사2676,1.1,5.6
281,라사2684,1.26,4.94
282,라사2182,1.2,4.63
283,라사1474,1.85,4.36
284,라사3087,1.11,5.25
285,라아0805,1.73,3.7
286,라사3789,1.04,4.9
287,라아3103,1.15,4.88
288,라사4191,1.01,5.41
289,라사1470,1.93,4.79
290,라아3302,1.13,2.93
291,라사3997,0.63,3.59
292,라사2971,1.53,4.02
293,라아1403,1.13,4.14
294,라사0773,1.47,4.97
295,라사1894,2.0,3.8
296,라아1401,1.69,5.36
297,라아1700,1.92,4.06
298,라사0776,1.08,5.34
299,라사3095,1.39,5.91
300,라사0876,1.52,4.9
301,라아2100,1.24,4.92
302,라사1991,1.59,0.76
303,라사4192,1.1,5.15
304,라사1583,0.35,1.49
305,라사1979,2.08,3.52
306,라아1102,1.84,4.97
307,라사1669,1.94,4.29
308,라사0985,1.4,5.6
309,라사1071,1.63,3.98
310,라사2472,1.47,4.02
311,라사2273,1.19,5.31
312,라사1377,1.89,4.98
313,라사1882,1.9,4.22
314,라사0696,1.71,5.69
315,라사0683,1.88,4.73
316,라사1587,1.38,4.76
317,라사2292,2.78,1.15
318,라사1176,1.98,4.13
319,라사1881,1.63,4.16
320,라사1170,1.46,4.32
321,라사1874,1.47,4.79
322,라사3398,1.33,3.76
323,라사1591,1.41,4.39
324,라사1683,1.41,2.25
325,라사1180,1.13,5.36
326,라사2774,1.21,4.89
327,라사2491,2.13,1.16
328,라아0705,1.16,4.76
329,라사1575,1.97,4.82
330,라사1589,1.95,3.73
331,라사0970,1.75,4.01
332,라사0069,1.25,2.16
333,라사2480,1.76,3.45
334,라사1081,1.85,4.64
335,라사1174,1.53,4.74
336,라사0964,1.3,3.92
337,라사2180,1.85,3.42
338,라사1782,1.16,4.76
339,라사0479,1.08,4.88
340,라사1285,1.23,4.61
341,라사1595,1.37,2.63
342,라사0796,1.73,5.1
343,라사0475,1.07,5.42
344,라사1769,1.57,1.21
345,라사3993,1.04,5.21
346,라사1675,1.42,4.27
347,라사1880,2.48,3.61
348,라사2081,2.74,2.81
349,라사1980,2.4,3.88
350,라사1096,2.01,5.46
351,라사0382,1.75,2.8
352,라사1265,1.52,3.95
353,라사1378,1.74,5.12
354,라아1203,1.41,2.23
355,라사3795,0.35,2.15
356,라사3982,1.96,4.87
357,라사2585,1.57,4.43
358,라사1296,1.77,4.73
359,라사2098,1.5,4.36
360,라사2872,1.18,4.91
361,라사1080,1.07,2.56
362,라사2789,1.82,5.34
363,라사1364,1.33,4.01
364,라사3196,1.12,4.91
365,라사4090,1.17,4.89
366,라사1977,1.58,4.22
367,라사2972,1.37,4.48
368,라사0381,1.97,4.44
369,라사1794,1.27,3.86
370,라아1402,0.91,2.9
371,라사2286,2.1,3.62
372,라사2692,1.51,3.7
373,라사4198,1.06,5.82
374,라사1375,1.51,3.7
375,라사2296,2.05,5.16
376,라사3792,1.0,5.71
377,라사0473,1.04,5.5
378,라사2083,2.25,2.78
379,라사2485,1.97,3.29
380,라사2687,1.1,5.44
381,라사2797,1.45,5.01
382,라사2689,1.66,5.55
383,라사2396,2.0,5.66
384,라사2193,1.82,2.21
385,라아1400,0.92,2.81
386,라사2393,3.28,2.79
387,라사3992,1.11,5.39
