,gid,배수_score,경사도_score
929,라사0699,2.0,6.0
930,라사2697,1.79,5.78
931,라아3200,1.05,5.55
932,라사3396,1.14,5.07
933,라사0168,1.0,2.44
934,라아0607,2.0,5.6
935,라사0675,1.29,5.8
936,라사2599,1.01,5.96
937,라사2275,1.41,4.29
938,라사3182,1.01,5.19
939,라아2800,1.0,6.0
940,라사1193,1.89,5.52
941,라사2781,1.0,5.79
942,라사3987,1.11,5.34
943,라사2596,1.44,5.84
944,라사3493,0.06,0.06
945,라사2899,1.0,5.93
946,라사1577,1.15,5.55
947,라사3899,0.49,2.38
948,라아4102,1.13,5.2
949,라사0585,2.1,4.39
950,라사2685,1.01,5.69
951,라사1387,1.83,5.11
952,라사3684,2.0,5.94
953,라사3188,0.72,3.69
954,라아3901,1.01,4.99
955,라사2174,1.38,4.68
956,라아0603,1.86,5.88
957,라사3195,1.07,5.3
958,라사2298,1.15,5.69
959,라아3902,0.65,3.27
960,라사0795,1.54,5.46
961,라사0995,2.0,5.42
962,라사3787,1.0,5.7
963,라사2790,1.11,5.24
964,라사2977,1.0,6.0
965,라아3504,1.02,5.95
966,라사1094,2.02,5.01
967,라아4501,1.03,4.61
968,라사2792,1.07,5.39
969,라사0396,1.03,6.0
970,라사4085,1.45,6.0
971,라사3499,1.06,5.36
972,라사1368,2.0,4.88
973,라사0695,1.17,5.93
974,라아4100,1.0,5.98
975,라사2677,1.02,5.42
976,라사3174,1.31,5.79
977,라사3293,0.53,2.93
978,라아4401,0.63,3.1
979,라사0599,1.43,6.0
980,라사2786,1.0,5.55
981,라사3589,1.08,5.29
982,라사2793,0.92,3.32
983,라사0575,1.08,5.66
984,라사1594,2.0,5.62
985,라사2891,1.0,5.83
986,라아3003,1.19,5.88
987,라사2794,1.31,3.94
988,라사4296,1.03,5.91
989,라아0509,1.06,6.0
990,라사0068,1.6,2.21
991,라사2580,1.01,4.92
992,라아0702,1.61,5.95
993,라사0895,1.96,5.36
994,라사0974,1.0,5.56
995,라사2771,1.9,5.36
996,라사4299,1.0,5.81
997,라사0999,1.74,5.4
998,라아0500,2.0,6.0
999,라사3382,1.79,5.52
1000,라사2887,1.24,5.3
1001,라아0704,1.13,6.0
1002,라사1391,1.9,5.92
1003,라사0383,1.9,5.65
1004,라사3291,0.39,1.73
1005,라아2103,1.0,5.65
1006,라사2879,1.16,5.88
1007,라사3098,1.12,4.92
1008,라사3191,0.89,3.23
1009,라아4004,0.63,5.22
1010,라사4289,1.18,5.74
1011,라사2890,1.0,5.85
1012,라사1477,1.05,5.66
1013,라사2576,1.12,5.42
1014,라사1366,1.0,2.72
1015,라사4393,1.02,5.86
1016,라사3799,0.54,1.35
1017,라아2400,1.0,5.61
1018,라사0972,1.09,5.19
1019,라사2777,1.0,5.88
1020,라아1901,1.08,5.54
1021,라사0966,1.15,2.27
1022,라사0472,1.04,5.53
1023,라사3896,0.91,5.36
1024,라사1382,1.08,5.41
1025,라사2577,1.16,5.05
1026,라아0903,1.6,5.73
1027,라아3801,0.09,0.8
1028,라사0971,1.31,5.17
1029,라사2990,1.0,5.58
1030,라사2471,1.22,5.49
1031,라아0402,1.21,5.91
1032,라사3780,1.35,5.9
1033,라사2371,1.71,4.93
1034,라사1388,2.0,4.65
1035,라사2678,1.02,5.71
1036,라사0477,1.11,5.69
1037,라사1289,1.88,5.02
1038,라사2999,1.0,5.64
1039,라아4402,0.99,5.68
1040,라아2600,1.02,5.76
1041,라사3490,1.06,5.54
1042,라사3796,0.28,0.99
1043,라사0374,0.9,2.37
1044,라사3592,0.5,2.35
1045,라사1666,0.89,4.71
1046,라사3687,1.05,5.35
1047,라사3694,0.94,5.2
1048,라사2179,1.1,4.95
1049,라사1165,1.96,3.11
1050,라아4203,0.76,5.69
1051,라사0272,1.97,4.22
1052,라사2595,1.48,5.86
1053,라아0507,1.25,5.99
1054,라사1485,1.31,5.65
1055,라사2075,1.24,4.95
1056,라아0906,1.76,5.62
1057,라아0600,2.0,6.0
1058,라사4195,1.0,6.0
1059,라사3696,0.2,1.88
1060,라아0301,1.24,6.0
1061,라아3500,0.9,3.91
1062,라아0300,1.47,6.0
1063,라사3995,1.01,5.61
1064,라아0807,2.0,5.62
1065,라사1970,1.82,4.86
1066,라사3682,1.89,5.99
1067,라아2700,1.02,5.86
1068,라아0302,1.02,6.0
1069,라아1900,1.05,5.43
1070,라아0703,1.88,5.47
1071,라사0967,1.65,5.14
1072,라사0772,1.29,5.48
1073,라사1494,2.0,5.32
1074,라사0868,0.89,3.99
1075,라아1704,1.06,5.49
1076,라사0886,1.28,5.38
1077,라사2372,1.1,5.46
1078,라사3093,0.36,2.0
1079,라사3181,1.75,5.8
1080,라사3285,1.08,5.8
1081,라사2787,1.18,5.69
1082,라아3503,1.0,5.84
1083,라사4089,1.02,5.1
1084,라아0606,1.33,5.93
1085,라사1281,1.1,5.74
1086,라아3305,1.04,5.88
1087,라아0503,1.16,5.89
1088,라사2773,1.15,5.65
1089,라사2370,1.69,4.38
1090,라사1396,1.51,5.84
1091,라사1969,1.65,4.98
1092,라아4300,0.5,3.45
1093,라사1776,1.23,5.16
1094,라사2783,1.0,5.31
1095,라사1270,1.02,5.12
1096,라사1875,1.35,4.67
1097,라사3781,1.81,5.69
1098,라사1295,1.94,5.11
1099,라사2695,2.0,5.87
1100,라사3395,1.32,5.04
1101,라사1667,1.49,4.36
1102,라아3102,1.0,5.76
1103,라사4087,1.01,5.44
1104,라사3491,0.46,1.09
1105,라아0502,1.21,5.98
1106,라사0899,2.0,5.92
1107,라사2679,1.05,5.82
1108,라사3594,0.51,1.72
1109,라사3281,1.89,5.54
1110,라사1269,1.16,5.96
1111,라사3390,1.01,5.2
1112,라사0996,2.0,5.7
1113,라사2177,1.1,5.3
1114,라사2070,1.74,5.35
1115,라아0701,1.11,5.99
1116,라사2998,1.0,5.4
1117,라아0709,1.15,5.85
1118,라사0676,1.0,5.52
1119,라사1087,2.02,4.74
1120,라사4086,1.03,5.73
1121,라사4294,1.07,5.59
1122,라사3096,1.0,5.35
1123,라사3297,1.1,4.87
1124,라사0968,1.59,5.84
1125,라사4399,1.0,5.36
1126,라사0877,1.14,5.57
1127,라사3189,0.68,3.26
1128,라사3092,0.76,2.46
1129,라사2975,1.05,5.41
1130,라아0608,2.0,5.85
1131,라아1201,1.6,4.49
1132,라아1503,1.05,6.0
1133,라사2681,1.04,5.0
1134,라사0569,0.97,4.1
1135,라사1091,2.0,5.71
1136,라사3075,1.18,5.67
1137,라사3794,0.72,3.04
1138,라사0878,1.06,5.62
1139,라사1067,2.05,5.04
1140,라사3593,0.49,3.13
1141,라사4392,1.42,5.83
1142,라사0869,1.02,4.36
1143,라사1569,1.6,5.24
1144,라사3998,1.07,5.63
1145,라사0885,1.15,5.87
1146,라사3990,1.0,5.13
1147,라사2571,1.39,4.28
1148,라사4094,1.0,5.99
1149,라사1272,1.76,5.03
1150,라아4000,1.0,6.0
1151,라사3695,0.53,2.01
1152,라아1903,1.11,5.6
1153,라사0799,2.0,6.0
1154,라사1287,1.99,5.68
1155,라사0574,1.18,5.71
1156,라사4394,1.14,5.66
1157,라사1283,1.14,5.05
1158,라아3800,0.13,0.06
1159,라사3082,1.0,5.17
1160,라사0399,1.1,6.0
1161,라사2796,1.0,3.63
1162,라사3175,1.58,5.4
1163,라사2497,1.47,5.68
1164,라사3783,2.0,5.75
1165,라사3895,0.91,4.48
1166,라아2901,1.0,5.78
1167,라사1090,1.99,5.59
1168,라사2698,1.11,5.12
1169,라아3201,1.01,5.49
1170,라사0278,0.69,0.59
1171,라사0986,1.02,5.84
1172,라사3590,1.09,4.51
1173,라사1280,0.94,5.9
1174,라사2992,0.54,1.26
1175,라사2696,2.0,5.54
1176,라사3383,1.88,5.48
1177,라사2399,1.0,5.75
1178,라아2300,1.0,5.73
1179,라사3591,0.82,3.16
1180,라아0401,2.0,6.0
1181,라사4187,1.0,5.91
1182,라아4202,0.61,2.85
1183,라사2071,1.28,4.83
1184,라사1066,1.77,4.82
1185,라사3292,0.44,1.8
1186,라사3385,1.04,5.75
1187,라사3983,1.73,5.64
1188,라사1486,1.13,5.39
1189,라사0484,1.89,5.01
1190,라사2991,1.0,5.74
1191,라사2171,1.23,5.6
1192,라사2579,1.02,5.88
1193,라사2987,1.16,5.3
1194,라사3892,1.01,5.93
1195,라아3600,0.51,2.78
1196,라아2900,1.0,5.79
1197,라사1082,2.0,5.38
1198,라아1802,1.0,5.82
1199,라사0686,1.88,5.24
1200,라사2597,1.89,5.71
1201,라사2997,1.0,5.38
1202,라사0583,1.54,5.77
1203,라사2881,1.19,5.76
1204,라사0992,1.99,5.85
1205,라사0471,1.4,5.8
1206,라사2892,0.96,4.52
1207,라사2896,1.08,5.14
1208,라아0508,1.25,6.0
1209,라사3494,0.88,3.47
1210,라아4103,0.72,4.12
1211,라사1184,1.44,5.63
1212,라아1801,1.01,5.79
1213,라사3392,0.43,1.8
1214,라사3076,1.16,5.96
1215,라아2402,1.13,5.67
1216,라사1183,1.77,5.4
1217,라사1079,1.25,5.03
1218,라사3393,0.92,1.55
1219,라아2401,1.0,5.99
1220,라사2898,1.0,5.8
1221,라사2784,1.16,4.62
1222,라사0879,1.2,5.05
1223,라사0476,1.25,4.77
1224,라아1803,1.03,5.65
1225,라사1069,1.11,4.8
1226,라사4290,1.14,5.75
1227,라사0987,1.2,5.71
1228,라사2470,1.75,4.76
1229,라사4186,1.34,6.0
1230,라사3985,1.92,5.94
1231,라사3880,1.88,5.98
1232,라사2799,1.0,5.36
1233,라사2875,1.02,5.61
1234,라사4190,1.08,5.13
1235,라사4295,1.03,5.88
1236,라아3505,1.03,5.91
1237,라사1786,0.38,0.31
1238,라사3782,2.0,5.31
1239,라아0908,1.1,5.91
1240,라사0991,2.0,6.0
1241,라아0601,1.64,6.0
1242,라사0596,1.66,5.99
1243,라사3081,1.75,5.97
1244,라사0397,1.0,6.0
1245,라사0680,1.32,5.62
1246,라사2993,0.59,4.5
1247,라아1003,1.81,5.3
1248,라사3984,2.0,5.75
1249,라아2202,1.02,5.26
1250,라사0368,1.7,2.55
1251,라사4095,1.0,5.99
1252,라아0802,1.51,5.74
1253,라사2299,1.0,5.6
1254,라아2003,1.01,5.55
1255,라사3788,1.04,5.43
1256,라사3295,0.85,4.2
1257,라사1467,1.49,4.53
1258,라사1686,0.56,0.34
