,gid,geometry,value_소방서,value_경찰서,value_병원,value_보건기관,value_응급의료시설,value_의원
36,라사02b81b,"POLYGON ((1002500 1981500, 1002500 1982000, 1003000 1982000, 1003000 1981500, 1002500 1981500))",3.257,3.209,24.027,3.425,25.531,3.915
37,라사02b82a,"POLYGON ((1002500 1982000, 1002500 1982500, 1003000 1982500, 1003000 1982000, 1002500 1982000))",3.242,3.195,24.012,3.343,25.606,3.9
38,라사03a69a,"POLYGON ((1003000 1969000, 1003000 1969500, 1003500 1969500, 1003500 1969000, 1003000 1969000))",17.482,22.276,33.175,6.021,35.996,28.377
39,라사03a69b,"POLYGON ((1003000 1969500, 1003000 1970000, 1003500 1970000, 1003500 1969500, 1003000 1969500))",17.899,18.472,33.591,6.437,36.412,28.793
40,라사03a70a,"POLYGON ((1003000 1970000, 1003000 1970500, 1003500 1970500, 1003500 1970000, 1003000 1970000))",17.882,18.456,33.575,6.421,36.396,28.777
41,라사03a70b,"POLYGON ((1003000 1970500, 1003000 1971000, 1003500 1971000, 1003500 1970500, 1003000 1970500))",18.131,18.705,33.824,6.67,36.645,29.026
42,라사03a71a,"POLYGON ((1003000 1971000, 1003000 1971500, 1003500 1971500, 1003500 1971000, 1003000 1971000))",18.726,19.299,34.418,7.264,37.239,29.62
43,라사03a71b,"POLYGON ((1003000 1971500, 1003000 1972000, 1003500 1972000, 1003500 1971500, 1003000 1971500))",11.227,11.195,15.541,4.231,38.577,11.543
44,라사03a72a,"POLYGON ((1003000 1972000, 1003000 1972500, 1003500 1972500, 1003500 1972000, 1003000 1972000))",10.577,10.545,16.944,5.634,37.927,10.894
45,라사03a75a,"POLYGON ((1003000 1975000, 1003000 1975500, 1003500 1975500, 1003500 1975000, 1003000 1975000))",8.923,8.876,29.694,7.537,33.277,8.859
46,라사03a75b,"POLYGON ((1003000 1975500, 1003000 1976000, 1003500 1976000, 1003500 1975500, 1003000 1975500))",8.736,8.688,32.379,9.894,33.089,8.671
47,라사03a76a,"POLYGON ((1003000 1976000, 1003000 1976500, 1003500 1976500, 1003500 1976000, 1003000 1976000))",8.098,8.051,28.869,9.256,32.451,8.033
48,라사03a76b,"POLYGON ((1003000 1976500, 1003000 1977000, 1003500 1977000, 1003500 1976500, 1003000 1976500))",8.607,8.56,29.378,9.765,32.96,8.542
49,라사03a77a,"POLYGON ((1003000 1977000, 1003000 1977500, 1003500 1977500, 1003500 1977000, 1003000 1977000))",7.16,7.112,27.931,8.318,31.513,7.095
50,라사03a77b,"POLYGON ((1003000 1977500, 1003000 1978000, 1003500 1978000, 1003500 1977500, 1003000 1977500))",6.609,6.562,27.38,7.767,30.963,6.544
51,라사03a78a,"POLYGON ((1003000 1978000, 1003000 1978500, 1003500 1978500, 1003500 1978000, 1003000 1978000))",6.83,6.783,27.601,7.988,31.184,6.765
52,라사03a78b,"POLYGON ((1003000 1978500, 1003000 1979000, 1003500 1979000, 1003500 1978500, 1003000 1978500))",5.004,4.957,25.775,6.163,29.358,4.94
53,라사03a79a,"POLYGON ((1003000 1979000, 1003000 1979500, 1003500 1979500, 1003500 1979000, 1003000 1979000))",4.329,4.282,25.1,5.487,28.683,4.265
54,라사03a79b,"POLYGON ((1003000 1979500, 1003000 1980000, 1003500 1980000, 1003500 1979500, 1003000 1979500))",3.619,3.571,24.389,4.777,27.973,3.554
55,라사03a80a,"POLYGON ((1003000 1980000, 1003000 1980500, 1003500 1980500, 1003500 1980000, 1003000 1980000))",3.339,3.291,24.109,4.497,27.692,3.274
56,라사03a80b,"POLYGON ((1003000 1980500, 1003000 1981000, 1003500 1981000, 1003500 1980500, 1003000 1980500))",3.689,3.642,24.46,4.847,28.043,3.624
57,라사03a81a,"POLYGON ((1003000 1981000, 1003000 1981500, 1003500 1981500, 1003500 1981000, 1003000 1981000))",3.998,3.951,24.768,4.166,26.273,3.933
58,라사03a81b,"POLYGON ((1003000 1981500, 1003000 1982000, 1003500 1982000, 1003500 1981500, 1003000 1981500))",3.305,3.257,24.075,3.611,25.717,3.905
59,라사03a82a,"POLYGON ((1003000 1982000, 1003000 1982500, 1003500 1982500, 1003500 1982000, 1003000 1982000))",3.339,3.291,24.109,3.017,24.968,3.997
60,라사03a82b,"POLYGON ((1003000 1982500, 1003000 1983000, 1003500 1983000, 1003500 1982500, 1003000 1982500))",4.364,4.109,24.074,3.904,24.784,3.526
