,gid,고령인구,geometry,20년 노후건물 비율,생산가능인구,유아비율,총인구,개별주택가격,주거용도면적,공시지가,지상층수,용적율,지하층수,대지면적,연면적,높이,건폐율,건축면적,전체건물수,20년 이상 노후건물 수,노후건물비율,value_소방서,value_경찰서,value_병원,value_보건기관,value_응급의료시설,value_의원,읍면동,배수_score,경사도_score,산사태_길이,산사태_값(합)
12,라사01a71a,0.0,"POLYGON ((1001000 1971000, 1001000 1971500, 1001500 1971500, 1001500 1971000, 1001000 1971000))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,남면,0.82,2.31,0.0,0.0
13,라사01b68b,0.0,"POLYGON ((1001500 1968500, 1001500 1969000, 1002000 1969000, 1002000 1968500, 1001500 1968500))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,남면,1.5,2.9,0.0,0.0
14,라사01b69a,0.0,"POLYGON ((1001500 1969000, 1001500 1969500, 1002000 1969500, 1002000 1969000, 1001500 1969000))",0.0,0.0,0.0,0.0,83225000.0,137.45,23393.3,1.57,34.32,1.0,388.25,366.69,8.89,27.08,169.44,7.0,5.0,1.4,20.532,25.325,36.225,9.07,39.046,31.427,남면,0.51,3.12,223.0,611.0
15,라사01b69b,7.0,"POLYGON ((1001500 1969500, 1001500 1970000, 1002000 1970000, 1002000 1969500, 1001500 1969500))",7.0,0.0,0.0,8.0,57083333.33,103.31,17980.64,1.18,17.05,0.0,739.67,155.45,5.86,15.17,146.77,11.0,8.0,1.375,19.948,20.522,35.642,8.487,38.462,30.844,남면,1.54,4.92,1837.0,5156.0
16,라사01b70a,0.0,"POLYGON ((1001500 1970000, 1001500 1970500, 1002000 1970500, 1002000 1970000, 1001500 1970000))",0.0,0.0,0.0,0.0,69833333.33,102.88,12757.8,1.0,18.59,1.0,519.67,103.04,4.97,18.59,96.06,4.0,2.0,2.0,22.585,23.158,38.278,11.124,41.099,33.479,남면,1.46,5.4,2135.0,7133.0
17,라사01b70b,0.0,"POLYGON ((1001500 1970500, 1001500 1971000, 1002000 1971000, 1002000 1970500, 1001500 1970500))",0.0,0.0,0.0,0.0,0.0,0.0,4491.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.692,23.265,38.385,11.231,41.206,33.587,남면,1.41,3.69,2103.0,6953.0
18,라사01b71a,0.0,"POLYGON ((1001500 1971000, 1001500 1971500, 1002000 1971500, 1002000 1971000, 1001500 1971000))",0.0,0.0,0.0,0.0,0.0,0.0,9625.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.005,9.973,13.62,2.309,37.355,10.854,남면,0.27,1.88,410.0,1338.0
19,라사01b76b,0.0,"POLYGON ((1001500 1976500, 1001500 1977000, 1002000 1977000, 1002000 1976500, 1001500 1976500))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,남산면,1.05,1.57,0.0,0.0
20,라사01b77a,0.0,"POLYGON ((1001500 1977000, 1001500 1977500, 1002000 1977500, 1002000 1977000, 1001500 1977000))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,남산면,1.06,2.32,0.0,0.0
21,라사02a69a,0.0,"POLYGON ((1002000 1969000, 1002000 1969500, 1002500 1969500, 1002500 1969000, 1002000 1969000))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,남면,1.86,1.2,0.0,0.0
22,라사02a69b,0.0,"POLYGON ((1002000 1969500, 1002000 1970000, 1002500 1970000, 1002500 1969500, 1002000 1969500))",0.0,0.0,0.0,0.0,55000000.0,33.0,11242.73,1.0,2.75,0.0,818.0,22.5,3.03,2.75,22.5,2.0,0.0,inf,19.084,19.657,34.776,7.622,37.597,29.978,남면,0.83,5.61,830.0,2059.0
23,라사02a70a,0.0,"POLYGON ((1002000 1970000, 1002000 1970500, 1002500 1970500, 1002500 1970000, 1002000 1970000))",0.0,0.0,0.0,0.0,0.0,0.0,5517.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.531,20.104,35.224,8.07,38.045,30.426,남면,1.21,5.37,2478.0,6983.0
24,라사02a70b,0.0,"POLYGON ((1002000 1970500, 1002000 1971000, 1002500 1971000, 1002500 1970500, 1002000 1970500))",0.0,0.0,0.0,0.0,0.0,0.0,3395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.114,23.687,38.807,11.653,41.628,34.008,남면,1.28,5.19,2500.0,6797.0
25,라사02a71a,0.0,"POLYGON ((1002000 1971000, 1002000 1971500, 1002500 1971500, 1002500 1971000, 1002000 1971000))",0.0,0.0,0.0,0.0,0.0,0.0,3563.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.401,10.368,14.015,2.705,37.75,11.25,남면,1.45,1.52,1953.0,6399.0
26,라사02a71b,0.0,"POLYGON ((1002000 1971500, 1002000 1972000, 1002500 1972000, 1002500 1971500, 1002000 1971500))",0.0,0.0,0.0,0.0,0.0,0.0,8185.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,남면,0.67,2.46,31.0,98.0
27,라사02a75b,0.0,"POLYGON ((1002000 1975500, 1002000 1976000, 1002500 1976000, 1002500 1975500, 1002000 1975500))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,남산면,1.6,1.88,0.0,0.0
28,라사02a76a,0.0,"POLYGON ((1002000 1976000, 1002000 1976500, 1002500 1976500, 1002500 1976000, 1002000 1976000))",0.0,0.0,0.0,0.0,0.0,0.0,30064.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.016,5.983,19.514,7.245,33.365,6.332,남산면,0.64,0.62,0.0,0.0
29,라사02a76b,0.0,"POLYGON ((1002000 1976500, 1002000 1977000, 1002500 1977000, 1002500 1976500, 1002000 1976500))",0.0,0.0,0.0,0.0,0.0,0.0,181281.42,1.08,0.0,1.0,457994.0,211.06,5.96,0.0,165.94,52.0,8.0,6.5,7.553,7.506,28.324,8.711,31.907,7.489,남산면,1.39,0.66,0.0,0.0
30,라사02a77a,0.0,"POLYGON ((1002000 1977000, 1002000 1977500, 1002500 1977500, 1002500 1977000, 1002000 1977000))",0.0,0.0,0.0,0.0,0.0,0.0,34907.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.16,7.112,27.931,8.318,31.513,7.095,남산면,0.92,0.17,0.0,0.0
31,라사02a77b,0.0,"POLYGON ((1002000 1977500, 1002000 1978000, 1002500 1978000, 1002500 1977500, 1002000 1977500))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,남산면,0.25,0.35,0.0,0.0
32,라사02a80a,0.0,"POLYGON ((1002000 1980000, 1002000 1980500, 1002500 1980500, 1002500 1980000, 1002000 1980000))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,남산면,0.11,0.68,0.0,0.0
33,라사02a80b,7.0,"POLYGON ((1002000 1980500, 1002000 1981000, 1002500 1981000, 1002500 1980500, 1002000 1980500))",7.0,16.0,0.0,23.0,192565384.62,179.04,73639.32,1.95,33.31,1.0,590.18,151.75,7.22,19.08,90.83,38.0,0.0,inf,2.335,2.288,23.106,3.493,26.689,2.271,남산면,0.46,1.41,2.0,7.0
34,라사02a81a,0.0,"POLYGON ((1002000 1981000, 1002000 1981500, 1002500 1981500, 1002500 1981000, 1002000 1981000))",0.0,0.0,0.0,0.0,161400000.0,147.28,51866.46,1.33,20.12,0.0,1142.71,109.05,4.96,18.55,93.07,12.0,6.0,2.0,2.451,2.403,23.221,3.609,26.437,2.706,남산면,0.56,0.94,0.0,0.0
35,라사02a81b,0.0,"POLYGON ((1002000 1981500, 1002000 1982000, 1002500 1982000, 1002500 1981500, 1002000 1981500))",0.0,0.0,0.0,0.0,0.0,0.0,100500.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,남산면,0.8,3.18,0.0,0.0
36,라사02a82a,0.0,"POLYGON ((1002000 1982000, 1002000 1982500, 1002500 1982500, 1002500 1982000, 1002000 1982000))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,남산면,1.7,5.85,0.0,0.0
37,라사02b69a,0.0,"POLYGON ((1002500 1969000, 1002500 1969500, 1003000 1969500, 1003000 1969000, 1002500 1969000))",0.0,0.0,0.0,0.0,0.0,0.0,43473.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,남면,1.02,2.12,46.0,171.0
38,라사02b69b,0.0,"POLYGON ((1002500 1969500, 1002500 1970000, 1003000 1970000, 1003000 1969500, 1002500 1969500))",0.0,7.0,0.0,12.0,74962500.0,126.65,38049.81,1.42,25.41,1.0,1140.57,321.21,6.36,22.14,140.2,13.0,7.0,1.8571428571428568,18.052,18.625,33.745,6.59,36.565,28.947,남면,1.21,5.61,975.0,3021.0
39,라사02b70a,0.0,"POLYGON ((1002500 1970000, 1002500 1970500, 1003000 1970500, 1003000 1970000, 1002500 1970000))",0.0,0.0,0.0,0.0,113000000.0,70.59,7642.41,2.0,8.29,0.0,851.0,70.59,9.4,5.39,45.86,1.0,0.0,inf,18.617,19.191,34.31,7.156,37.131,29.512,남면,1.54,5.67,2356.0,8112.0
40,라사02b70b,0.0,"POLYGON ((1002500 1970500, 1002500 1971000, 1003000 1971000, 1003000 1970500, 1002500 1970500))",0.0,0.0,0.0,0.0,0.0,0.0,3283.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.083,19.657,34.776,7.622,37.597,29.978,남면,1.26,5.55,2500.0,6991.0
41,라사02b71a,0.0,"POLYGON ((1002500 1971000, 1002500 1971500, 1003000 1971500, 1003000 1971000, 1002500 1971000))",0.0,0.0,0.0,0.0,0.0,0.0,4478.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.967,14.614,3.304,38.349,11.316,남면,1.72,4.2,2500.0,8534.0
42,라사02b71b,0.0,"POLYGON ((1002500 1971500, 1002500 1972000, 1003000 1972000, 1003000 1971500, 1002500 1971500))",0.0,0.0,0.0,0.0,33400000.0,119.7,8518.11,1.0,0.0,0.0,0.0,119.7,0.0,0.0,119.7,1.0,1.0,1.0,11.205,11.172,14.819,3.509,38.554,11.521,남면,0.83,0.39,967.0,3196.0
43,라사02b72a,0.0,"POLYGON ((1002500 1972000, 1002500 1972500, 1003000 1972500, 1003000 1972000, 1002500 1972000))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,남면,1.44,3.13,0.0,0.0
44,라사02b75a,0.0,"POLYGON ((1002500 1975000, 1002500 1975500, 1003000 1975500, 1003000 1975000, 1002500 1975000))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,남산면,1.38,0.98,0.0,0.0
